loc,v(g),ev(g),iv(g),n,l,d,i,t,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,defects,risk_score,risk_level
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,2,2,2,1.2,1.2,0,5.719204864748052,Low
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,3.2953953492778925,Low
72.0,7.0,1.0,6.0,198.0,0.05,20.31,55.85,1279.39,10,8,1,17.0,36.0,1,33.75523981816409,Medium
190.0,3.0,1.0,3.0,600.0,0.06,17.06,254.87,4122.37,29,28,2,17.0,135.0,1,35.13876538914326,Medium
37.0,4.0,1.0,4.0,126.0,0.06,17.19,34.86,572.07,1,6,0,11.0,16.0,1,27.76746493709518,Low
31.0,2.0,1.0,2.0,111.0,0.08,12.25,47.55,396.44,0,5,0,14.0,24.0,1,24.359265847613646,Low
78.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,24.674317769345528,Low
8.0,1.0,1.0,1.0,16.0,0.36,2.8,18.11,7.89,0,1,0,4.0,5.0,1,12.052209804952868,Low
24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,10.330461027902684,Low
143.0,22.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,36.171299522937005,Medium
73.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,24.06600489068701,Low
83.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,28.458187251660394,Low
12.0,3.0,1.0,1.0,37.0,0.15,6.87,24.34,63.93,0,2,0,11.0,12.0,1,19.985235550060786,Low
48.0,4.0,1.0,4.0,129.0,0.06,17.35,40.1,670.41,1,16,0,19.0,23.0,1,29.146787036414324,Low
68.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,18.765540715452794,Low
138.0,22.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,33.12604372586304,Medium
10.0,1.0,1.0,1.0,9.0,0.5,2.0,13.5,3.0,0,6,0,4.0,4.0,1,11.6796335589927,Low
250.0,49.0,34.0,16.0,1469.0,0.01,97.0,99.72,52128.39,92,17,0,32.0,64.0,1,65.10807151489837,Medium
77.0,8.0,1.0,1.0,284.0,0.02,40.95,28.35,2640.91,0,16,0,7.0,10.0,1,35.01070735202777,Medium
85.0,9.0,1.0,7.0,277.0,0.03,32.64,52.53,3108.95,0,14,0,26.0,47.0,1,37.21401244718314,Medium
110.0,17.0,13.0,8.0,322.0,0.03,33.41,61.94,3840.4,13,14,0,27.0,59.0,1,49.96479405842395,Medium
49.0,6.0,6.0,3.0,171.0,0.04,25.33,36.63,1305.92,0,13,0,19.0,24.0,1,37.67963497448106,Medium
187.0,35.0,26.0,16.0,526.0,0.02,42.56,77.45,7794.45,1,16,0,21.0,56.0,1,58.58513075897134,Medium
27.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.259161753241518,Low
38.0,8.0,1.0,3.0,145.0,0.05,20.53,32.8,768.05,0,7,0,9.0,16.0,1,31.10345679971575,Low
294.0,43.0,33.0,24.0,814.0,0.02,40.88,142.15,13200.38,41,26,2,28.0,113.0,1,62.92800365575877,Medium
29.0,3.0,1.0,3.0,88.0,0.08,12.04,38.63,311.11,0,6,0,14.0,25.0,1,25.463178794204772,Low
160.0,5.0,4.0,3.0,698.0,0.03,33.11,146.86,8942.73,11,23,1,22.0,103.0,1,42.28791153541044,Medium
94.0,16.0,9.0,5.0,218.0,0.03,34.52,35.83,2371.31,19,6,1,22.0,29.0,1,46.7635823314332,Medium
48.0,3.0,1.0,3.0,157.0,0.08,13.09,70.84,674.46,1,9,0,16.0,44.0,1,28.156940201161053,Low
14.0,2.0,1.0,2.0,31.0,0.19,5.2,24.86,37.34,1,3,0,8.0,10.0,1,18.117678820588214,Low
32.0,6.0,4.0,4.0,116.0,0.06,16.67,35.7,550.92,0,4,0,14.0,21.0,1,33.2571950137434,Medium
11.0,1.0,1.0,1.0,9.0,0.5,2.0,13.5,3.0,0,6,0,4.0,4.0,1,11.971580767098663,Low
20.0,3.0,1.0,1.0,31.0,0.11,9.0,13.11,59.01,4,0,0,9.0,5.0,1,21.272681926771927,Low
39.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,10.051509397457886,Low
63.0,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,33.45748769924586,Medium
78.0,6.0,1.0,5.0,192.0,0.04,28.21,38.01,1680.81,6,19,6,20.0,28.0,1,34.10216789540915,Medium
209.0,26.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,37.4734681637421,Medium
6.0,2.0,1.0,1.0,21.0,0.17,6.0,13.67,27.35,0,0,0,10.0,5.0,1,15.088355261072897,Low
44.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,28.16109147909319,Low
24.0,3.0,1.0,1.0,52.0,0.06,16.71,13.45,208.69,0,4,0,13.0,7.0,1,24.165596831942047,Low
23.0,2.0,1.0,2.0,51.0,0.17,6.0,38.97,77.94,0,2,0,9.0,15.0,1,20.636978250922038,Low
69.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.800707778563176,Low
148.0,19.0,10.0,11.0,516.0,0.03,34.67,93.0,6209.05,7,16,1,19.0,57.0,1,50.41361857235914,Medium
83.0,20.0,15.0,7.0,226.0,0.03,33.19,39.19,2398.15,7,12,0,25.0,29.0,1,49.31878119469436,Medium
53.0,4.0,1.0,4.0,106.0,0.07,14.86,36.3,445.11,7,8,0,13.0,21.0,1,28.864309563537184,Low
97.0,15.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,31.048317511684225,Low
25.0,2.0,1.0,2.0,71.0,0.15,6.46,54.98,127.34,3,0,0,9.0,23.0,1,21.701062935037527,Low
466.0,110.0,95.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,54.20254636578602,Medium
110.0,27.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,34.67548556188323,Medium
113.0,19.0,18.0,11.0,491.0,0.02,45.4,70.04,8019.06,9,12,0,26.0,63.0,1,53.001971194247574,Medium
119.0,9.0,7.0,7.0,300.0,0.04,24.96,74.63,2583.37,21,15,2,21.0,53.0,1,43.91775145967403,Medium
15.0,3.0,1.0,2.0,47.0,0.11,9.0,23.94,107.75,0,2,1,12.0,12.0,1,21.47527581784602,Low
44.0,10.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,25.057447737371096,Low
124.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,44.20899791748756,Medium
8.0,1.0,1.0,1.0,15.0,0.34,2.92,17.79,8.41,0,2,0,5.0,6.0,1,12.377485532721046,Low
8.0,1.0,1.0,1.0,15.0,0.34,2.92,17.79,8.41,0,2,0,5.0,6.0,1,12.377485532721046,Low
162.0,27.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,38.091921057566545,Medium
113.0,27.0,20.0,16.0,445.0,0.02,41.45,68.26,6514.4,0,9,5,25.0,57.0,1,54.558446760558475,Medium
8.0,1.0,1.0,1.0,15.0,0.34,2.92,17.79,8.41,0,2,0,5.0,6.0,1,12.377485532721046,Low
8.0,1.0,1.0,1.0,14.0,0.33,3.0,15.5,7.75,0,2,0,5.0,5.0,1,12.222101613963254,Low
9.0,2.0,1.0,1.0,17.0,0.24,4.08,15.41,14.27,0,1,0,7.0,6.0,1,15.445520705823782,Low
179.0,36.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,40.39824467748158,Medium
171.0,16.0,1.0,16.0,644.0,0.03,34.25,123.53,8050.63,8,24,22,19.0,76.0,1,42.80494723264452,Medium
77.0,15.0,11.0,15.0,273.0,0.06,18.04,91.8,1659.65,4,9,0,16.0,51.0,1,45.37763310321907,Medium
8.0,1.0,1.0,1.0,15.0,0.34,2.92,17.79,8.41,0,2,0,5.0,6.0,1,12.377485532721046,Low
12.0,4.0,1.0,1.0,40.0,0.13,8.0,22.92,81.51,0,2,0,12.0,12.0,1,21.45101656373557,Low
42.0,9.0,1.0,4.0,135.0,0.07,14.88,47.63,585.47,6,6,0,17.0,30.0,1,31.77151826334662,Low
